Source,Destination,Length,Info
192168118,192168117,187,Data /ndn/Client1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Router1%08%08%C1.Router%08%06router/54=%00%00%01%82%EC%F6%84l
192168118,192168117,140,Interest /ndn/Router1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Client1%08%08%C1.Router%08%06router
192168119,192168115,187,Data /ndn/Server3/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server2%08%08%C1.Router%08%06router/54=%00%00%01%82%EB%AA%0D9
192168119,192168115,140,Interest /ndn/Server2/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server3%08%08%C1.Router%08%06router
192168119,192168117,187,Data /ndn/Server3/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Router1%08%08%C1.Router%08%06router/54=%00%00%01%82%EB%AA%0D%3A
192168119,192168117,140,Interest /ndn/Router1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server3%08%08%C1.Router%08%06router
192168115,192168119,282,Data /ndn/Server2/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server3%08%08%C1.Router%08%06router/54=%00%00%01%82%EB%AAS%1F
192168115,192168119,140,Interest /ndn/Server3/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server2%08%08%C1.Router%08%06router
192168116,192168117,187,Data /ndn/Server1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Router1%08%08%C1.Router%08%06router/54=%00%00%01%82%EC%F6%84j
192168116,192168117,140,Interest /ndn/Router1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server1%08%08%C1.Router%08%06router
192168116,192168119,187,Data /ndn/Server1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server3%08%08%C1.Router%08%06router/54=%00%00%01%82%EC%F6%84j
192168116,192168119,140,Interest /ndn/Server3/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server1%08%08%C1.Router%08%06router
192168116,192168115,187,Data /ndn/Server1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server2%08%08%C1.Router%08%06router/54=%00%00%01%82%EC%F6%84j
192168116,192168115,140,Interest /ndn/Server2/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server1%08%08%C1.Router%08%06router
192168117,192168118,187,Data /ndn/Router1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Client1%08%08%C1.Router%08%06router/54=%00%00%01%82%EB%AA8%A4
192168119,192168115,187,Data /ndn/Server3/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server2%08%08%C1.Router%08%06router/54=%00%00%01%82%EB%AA%0D%3A
192168117,192168118,140,Interest /ndn/Client1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Router1%08%08%C1.Router%08%06router
192168119,192168115,140,Interest /ndn/Server2/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server3%08%08%C1.Router%08%06router
192168119,192168116,187,Data /ndn/Server3/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server1%08%08%C1.Router%08%06router/54=%00%00%01%82%EB%AA%0D%3B
192168119,192168116,140,Interest /ndn/Server1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server3%08%08%C1.Router%08%06router
192168115,192168116,282,Data /ndn/Server2/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server1%08%08%C1.Router%08%06router/54=%00%00%01%82%EB%AAS%20
192168115,192168116,140,Interest /ndn/Server1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server2%08%08%C1.Router%08%06router
192168115,192168119,281,Data /ndn/Server2/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server3%08%08%C1.Router%08%06router/54=%00%00%01%82%EB%AAS%20
192168115,192168119,140,Interest /ndn/Server3/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server2%08%08%C1.Router%08%06router
192168118,192168117,187,Data /ndn/Client1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Router1%08%08%C1.Router%08%06router/54=%00%00%01%82%EC%F6%84n
192168118,192168117,140,Interest /ndn/Router1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Client1%08%08%C1.Router%08%06router
192168117,192168119,187,Data /ndn/Router1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server3%08%08%C1.Router%08%06router/54=%00%00%01%82%EB%AA8%A5
192168117,192168119,140,Interest /ndn/Server3/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Router1%08%08%C1.Router%08%06router
192168117,192168116,187,Data /ndn/Router1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server1%08%08%C1.Router%08%06router/54=%00%00%01%82%EB%AA8%A6
192168117,192168116,140,Interest /ndn/Server1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Router1%08%08%C1.Router%08%06router
192168119,192168115,187,Data /ndn/Server3/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server2%08%08%C1.Router%08%06router/54=%00%00%01%82%EB%AA%0D%3C
192168119,192168115,140,Interest /ndn/Server2/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server3%08%08%C1.Router%08%06router
192168115,192168119,282,Data /ndn/Server2/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server3%08%08%C1.Router%08%06router/54=%00%00%01%82%EB%AAS%21
192168115,192168119,140,Interest /ndn/Server3/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server2%08%08%C1.Router%08%06router
192168117,192168118,187,Data /ndn/Router1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Client1%08%08%C1.Router%08%06router/54=%00%00%01%82%EB%AA8%A7
192168117,192168118,140,Interest /ndn/Client1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Router1%08%08%C1.Router%08%06router
192168119,192168115,187,Data /ndn/Server3/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server2%08%08%C1.Router%08%06router/54=%00%00%01%82%EB%AA%0D%3D
192168119,192168115,140,Interest /ndn/Server2/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server3%08%08%C1.Router%08%06router
192168118,192168117,187,Data /ndn/Client1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Router1%08%08%C1.Router%08%06router/54=%00%00%01%82%EC%F6%84p
192168118,192168117,140,Interest /ndn/Router1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Client1%08%08%C1.Router%08%06router
192168115,192168119,282,Data /ndn/Server2/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server3%08%08%C1.Router%08%06router/54=%00%00%01%82%EB%AAS%23
192168115,192168119,140,Interest /ndn/Server3/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server2%08%08%C1.Router%08%06router
192168116,192168119,187,Data /ndn/Server1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server3%08%08%C1.Router%08%06router/54=%00%00%01%82%EC%F6%84n
192168116,192168119,140,Interest /ndn/Server3/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server1%08%08%C1.Router%08%06router
192168116,192168115,187,Data /ndn/Server1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server2%08%08%C1.Router%08%06router/54=%00%00%01%82%EC%F6%84o
192168116,192168115,140,Interest /ndn/Server2/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server1%08%08%C1.Router%08%06router
192168116,192168117,187,Data /ndn/Server1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Router1%08%08%C1.Router%08%06router/54=%00%00%01%82%EC%F6%84o
192168116,192168117,140,Interest /ndn/Router1/%C1.Router/router/nlsr/INFO/%07%20%08%03ndn%08%07Server1%08%08%C1.Router%08%06router
